id,Текст Сообщения,Тематика,Ответственное лицо,Категория
2246,"Помогите начальник Льговского рэс не реагирует на жалобы, а мы как малейший ветер сидим без света, а именно в деревне большие угоны улица старая слобода. Пожалуйста помогите, пускай вычистит и фотоотчет сделает","Нарушения, связанные с содержанием электросети и качеством энергоснабжения в районе частного сектора",Администрация Льговского района,3
380,"<p>По фасаду дома по адресу ул. Урицкого 22 проходит труба газовой магистрали. Также эта труба проходит рядом с деревом, которое при каждом порыве ветра цепляет трубку, заставляя ее двигаться по креплениям. Мы боимся, что при особенно сильном порыве, труба может просто сломаться. А это газ, существует опасность взрыва. Мы обращались по поводу этой проблемы в газовую службу и в МЧС, но они отказываются спиливать это дерево, говорят, что если сейчас газом не пахнет, они ничего поделать не могут. Но если начнет пахнуть газом, будет уже поздно что-то предпринимать. Прошу спилить дерево, которое создаёт опасность для целостности газовой трубы.</p>",Аварийные деревья,Администрация города Курска,3
2240,Агресивные собаки. На радуге там стая из подросших щенков и зврослых собак. Они на Ребенка  бросилась.  Соьаки бросаются пытаются за ноги  укусить. Разговор с охранниками не дал результатов,Безнадзорные животные,Администрация города Курска,1
596,"<p>На пересечении &nbsp;улиц Сосновская и Береговая &nbsp;завалено все песком и гравием на санитарной зоне участка который относится к <span style=`background-color:rgb(255,255,255);color:rgb(51,51,51);`>МУП КГТПО &nbsp; ( центральный рынок) невозможно не пройти не проехать с коляской</span>&nbsp;</p>",Нескошенная сорная растительность в местах общего пользования в районах частного сектра,Комитет дорожного хозяйства города Курска,3
1797,"<p style=`text-align:justify;`><span style=`background-color:white;`>Здравствуйте! Рядом с&nbsp;домом 1 «А» по&nbsp;улице&nbsp;Светлая, вне придомовой территории, растет клен. Это довольно старое и хрупкое дерево. В&nbsp;случае непогоды возможно обламывание ветвей (как уже неоднократно случалось), что с большой вероятностью приведет к&nbsp;обрыву находящихся рядом электрических проводов, в&nbsp;случае повреждения которых без света останется вся улица. Кроме того, возникает угроза жизни и&nbsp;здоровью проживающих рядом людей (в том числе детей), а&nbsp;также их автомобилям и другому имуществу. Прошу провести спил дерева или его санитарную обрезку.</span></p>",Аварийные деревья,Комитет городского хозяйства города Курска,3
1383,"<p>Добрый день! Управляющая Компания “Аврора +” не убирает дворовую территорию по адресу г. Курск, ул. Союзная д. 71Б. &nbsp;Я неоднократно звонил в управляющую компанию, но результата нет. &nbsp;После сегодняшнего снегопада ситуация также не изменилась. Прошу принять меры и обязать УК “Аврора +” &nbsp;исполнять свои обязательства, которые они в 2021 году взяли на себя, перед жителями многоквартирного дома. &nbsp;&nbsp;</p>",Несвоевременная очистка дворовой территории многоквартирных домов от наледи и снега,Комитет жилищно-коммунального хозяйства города Курска,3
1934,"Добрый день, полностью отсутствует наружнее освежением у дома по адресу проспект Дружбы д.19Д, нет ни одного фонарного столба, предподъездная территория не имеет никакого освещения. 
Необходимо установить осветительные приборы которые могут обеспечить нормы освещённости!",Неработающее наружное освещение,Администрация города Курска,3
2833,"Едкий и вредный для здоровья запах от карьеров завода `Сырная долина`.  - чистят трубы и технические ванны `каустиковой содой`, потом эту жидкость сливают в грунт без фильтрации, откуда все попадает в грунтовые воды; - за последние годы было два больших пожара в карьерах т.к. туда сливается жир, который хорошо горит. Из-за пожара был поврежден газопровод. При наличии ветра, могла сгореть деревня; - едкий запах разносится до 10 км в разные стороны, в зависимости от направления ветра; - нечистоты зимой попадали в лес, а пару лет назад в пруд д. Калиновка; - активиста который боролся с данным явлением (Дмитрий Кутепов), запугивали охранники завода, а люди из правоохранительных органов грозили тюремным сроком; - с 2008 года жители деревни жалуются, но мер никаких принято не было; - неоднократно в данные карьеры падали дети и в т.ч. Взрослые. Без летальных исходов; - от едкого запаха развиваются головные боли и приступы астмы.  * В один карьер целенаправлено набирают чистую воду. Этот карьер находится вблизи дороги и все проверки берут пробы из него. Сделали его специально для этого.  На данный момент сливают отходы в ночное время суток, но бывает и днём. Всегда в разное время. При сливе нарушается жировая пленка на поверхности и все затягивает едким запахом.  По нормам и законодательству Российской Федерации, данное производство не должно быть размещено рядом с жилыми домами. Отсюда на лицо грубое нарушение размещения производства и расположения его резервуаров для слива нечистот.  Надеемся что законы Российской Федерации будут соблюдены и производство будет перенесено в другое место в дали от жилых домов или ямы будут осушены, а все нечистоты будут вывозиться в специальные места для их дальнейшей утилизации.",Неприятные запахи,Комитет природных ресурсов Курской области,16
1263,<p>Отсутствие люка</p>,Отсутствие люков на коммуникационных колодцах,Муниципальное казенное учреждение «Городская инспекция по жилищно-коммунальному хозяйству и благоустройству»,3
1593,"<p>Добрый день.&nbsp;</p><p>На остановке `Площадь Рокоссовского` подземный переход находится в очень плохом состоянии. В него трудно спускаться и из него трудно подниматься, так как его ступени разбиты, а зимой ещё на них появляется лёд, что в несколько раз затрудняет передвижение (как спуск в данный подземный переход, так и подъём). Велика возможность упасть и получить травму, даже держась за перила, ведь, если ступени просто заледенели, то на них ещё есть возможность как-то удержаться, опираясь на перила при спуске или подъёме, а в данном случае ступени данного перехода не только покрываются льдом зимой, но и находятся в ужасном, опасном для здоровья людей, состоянии.</p><p>Прошу Вас разобраться с данной проблемой и сделать хорошие ступени в данном подземном переходе.</p><p>С уважением,</p><p>Половинкин В. С.</p>",Пешеходные переходы на дорогах в границах городских округов и сельских поселений,Комитет природных ресурсов Курской области,0
1900,"Здравствуйте, в д. Старый Бузец уже 3 дня не чистят дороги от снега. Нет возможности выехать на работу. Работаю в такси, аренду автомобиля необходимо платить, а я выехать второй день не могу. Стою вот посреди дороги, застряв в снегу, под которым лёд.",Очистка от снега и наледи дорог в границах городских округов и сельских поселений,Администрация Железногорского района,0
1852,"ООО Управляющая Компания «Мой Дом» в лице учредителя Ситниковой  Кристины Мгеровны и генерального директора Некрасовой Инны Юрьевны рассылают квитанции об оплате за «управление» многоквартирным жилым домом: город Курск, улица Орловская, дом 1 «А» с необоснованной задолженностью. 
Просьба оказать посильную помощь и разобраться что у них там происходит (после праздников), спасибо.",Нарушения в вопросах оплаты услуг ЖКХ,Государственная жилищная инспекция Курской области,3
478,"<p>Добрый день, мною ранее было опубликовано сообщение ( Сообщение №:&nbsp;91063 от 17.05.2021) о неудовлетворительном содержании детской площадки, по адресу г. Курск ул. Бойцов 9 Дивизии, д.199 А. Государственная жилищная инспекция Курской области дала ответ о том, что данный вопрос направлен для рассмотрения в администрацию г.Курска. Хотелось бы узнать дальнейшее решение по вопросу.</p>",Неудовлетворительное содержание детской (спортивной) площадки на территории многоквартирных домов,Администрация города Курска,3
2239,Отсутствие люка,Отсутствие люков на коммуникационных колодцах,Администрация города Курска,3
1635,"<p>Добрый день. Прошу помощи в решении нашей проблемы! Во дворе дома Орловская 12 и дома Орловская 16, на протяжении многих лет находится яма, которая постоянно находится с водой. Проехать на машине невозможно, тем более пройти пешком.</p>",Нарушение дорожного покрытия (ямы)  на дорогах в границах городских округов и сельских поселений,Комитет городского хозяйства города Курска,0
469,"<p>В центре города, а архитектурные формы рассыпаются на глазах. Судя по огромным трещинам - необходим капитальный ремонт.</p>",Несвоевременный (некачественный) текущий ремонт многоквартирного дома,Государственная жилищная инспекция Курской области,3
304,<p>Старые гаражи рядом с звездной 11а. Вокруг них закидано мусором бутылками.</p>,Неудовлетворительная уборка улиц и тротуаров,Администрация города Курска,3
630,<p>Дорога&nbsp;</p>,Нарушение дорожного покрытия (ямы)  на дорогах в границах городских округов и сельских поселений,Комитет дорожного хозяйства города Курска,0
